"","nnd_to_prev","lek_id","date_prev","date_now","period"
"140",2.01835634161049,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"141",13.6886699783762,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"142",10.7170015960055,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"143",12.3588085148479,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"144",4.04713669780998,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"145",12.7985845395169,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"146",6.96627987795498,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"147",0.622269729810128,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"148",0.958883287499844,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"149",2.27557388145635,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"150",1.53010109214074,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"151",3.28824141387949,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"152",11.8598537399952,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"153",1.12743437481929,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"154",11.2281603767962,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"155",0.0848536679988707,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"156",0.874597473318948,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"157",2.99152331635876,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"158",0.448244923617909,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"159",3.42681425498769,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"160",0.92962047370895,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"161",12.5393185567538,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"162",4.56843846045977,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
"163",4.64006259420612,"TalChhapar_TC",2012-10-01,2014-02-01,"2012-2014"
